Strategy,Total Return (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Win Rate (%)
PPO Agent,44.400400756847745,9.793448047222109,13.51572331833073,0.7245966654215038,-24.351165690462214,0.4021757385954618,55.90312815338042
Buy and Hold,36.206442378270886,8.039540541010727,10.776076631262551,0.7460545072301322,-20.53388305061587,0.39152558340735255,55.80933465739821
Monthly Rebalance,33.80003686678308,7.558677228914257,10.609600405261087,0.7124375037881786,-20.9511418016823,0.36077638634030545,55.71002979145978
