Strategy,Total Return (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Win Rate (%)
PPO Agent,42.735499962438794,9.470153152895545,15.005581197952544,0.6311087206797236,-21.51517934994417,0.44016147850146176,54.28859737638748
Buy and Hold,36.206425639462346,8.039537218390457,10.776069015121498,0.7460547261815967,-20.53387579790662,0.391525559885293,55.80933465739821
Monthly Rebalance,33.800011002467656,7.5586720258245865,10.609592934643663,0.7124375150287945,-20.951135232440414,0.36077625111792777,55.71002979145978
