Date,GLD,QQQ,SHV,SPY,TLT
2010-01-04,109.80000305175781,40.39356994628906,89.5672836303711,85.27919006347656,56.984046936035156
2010-01-05,109.69999694824219,40.39356994628906,89.53468322753906,85.50494384765625,57.35208511352539
2010-01-06,111.51000213623047,40.149906158447266,89.5428237915039,85.56513214111328,56.58435821533203
2010-01-07,110.81999969482422,40.17603302001953,89.5428237915039,85.92634582519531,56.67951202392578
2010-01-08,111.37000274658203,40.50669479370117,89.57536315917969,86.21229553222656,56.654212951660156
2010-01-11,112.8499984741211,40.34136962890625,89.57536315917969,86.33270263671875,56.34325408935547
2010-01-12,110.48999786376953,39.836666107177734,89.5672836303711,85.52753448486328,57.30769729614258
2010-01-13,111.54000091552734,40.33265686035156,89.55912017822266,86.2498779296875,56.64142608642578
2010-01-14,112.02999877929688,40.36745834350586,89.55912017822266,86.48318481445312,57.4345588684082
2010-01-15,110.86000061035156,39.89756774902344,89.55099487304688,85.51245880126953,57.78990936279297
2010-01-19,111.5199966430664,40.54150390625,89.5672836303711,86.58100128173828,57.62493896484375
2010-01-20,108.94000244140625,39.958492279052734,89.5672836303711,85.70060729980469,58.20866775512695
2010-01-21,107.37000274658203,39.58430862426758,89.5672836303711,84.05267333984375,58.47517395019531
2010-01-22,107.16999816894531,38.426979064941406,89.55099487304688,82.178955078125,58.3736686706543
2010-01-25,107.4800033569336,38.557491302490234,89.58351135253906,82.6003646850586,58.10713577270508
2010-01-26,107.55999755859375,38.59230041503906,89.58351135253906,82.25419616699219,58.12616729736328
2010-01-27,106.52999877929688,38.8968620300293,89.55099487304688,82.6454849243164,58.09444046020508
2010-01-28,106.4800033569336,37.89616775512695,89.55099487304688,81.69737243652344,58.06272888183594
2010-01-29,105.95999908447266,37.23481369018555,89.58351135253906,80.80943298339844,58.57032775878906
2010-02-01,108.3499984741211,37.6438102722168,89.56074523925781,82.06607055664062,58.03861618041992
2010-02-02,109.12999725341797,37.983184814453125,89.57698822021484,83.05936431884766,58.20416259765625
2010-02-03,108.69999694824219,38.1920166015625,89.56891632080078,82.6454849243164,57.52924346923828
2010-02-04,104.37000274658203,37.086910247802734,89.56891632080078,80.09458923339844,58.439796447753906
2010-02-05,104.68000030517578,37.40016555786133,89.5526351928711,80.2601318359375,58.56712341308594
2010-02-08,104.04000091552734,37.13040542602539,89.58512878417969,79.68072509765625,58.643558502197266
2010-02-09,105.41000366210938,37.5132942199707,89.58512878417969,80.68152618408203,58.057716369628906
2010-02-10,105.12000274658203,37.43496322631836,89.57698822021484,80.52349853515625,57.50379943847656
2010-02-11,107.12999725341797,38.000572204589844,89.58512878417969,81.36629486083984,57.19178771972656
2010-02-12,107.04000091552734,38.07889175415039,89.58512878417969,81.29856872558594,57.42738723754883
2010-02-16,109.62000274658203,38.56618881225586,89.56074523925781,82.5777359008789,57.53563690185547
2010-02-17,109.25,38.783729553222656,89.57698822021484,82.96907043457031,56.879764556884766
2010-02-18,109.9800033569336,39.02738571166992,89.58512878417969,83.45821380615234,56.65059280395508
2010-02-19,109.47000122070312,39.00999069213867,89.56891632080078,83.63126373291016,56.95619583129883
2010-02-22,109.06999969482422,38.93166732788086,89.57698822021484,83.64632415771484,56.72059631347656
2010-02-23,107.88999938964844,38.426979064941406,89.57698822021484,82.63047790527344,57.60568618774414
2010-02-24,107.36000061035156,38.81855010986328,89.56891632080078,83.39047241210938,57.745723724365234
2010-02-25,108.30999755859375,38.80986785888672,89.5932388305664,83.27759552001953,58.070499420166016
2010-02-26,109.43000030517578,38.949073791503906,89.58512878417969,83.33026123046875,58.369747161865234
2010-03-01,109.43000030517578,39.51470184326172,89.58348846435547,84.19564056396484,58.344215393066406
2010-03-02,111.0199966430664,39.63652801513672,89.5428237915039,84.42892456054688,58.26755905151367
2010-03-03,111.62999725341797,39.68001937866211,89.56724548339844,84.5041275024414,58.12065505981445
2010-03-04,110.83000183105469,39.8105583190918,89.5754165649414,84.7599868774414,58.427242279052734
2010-03-05,110.80999755859375,40.41096878051758,89.56724548339844,85.97151947021484,57.66073989868164
2010-03-08,109.87999725341797,40.48929214477539,89.58348846435547,85.9865493774414,57.36051940917969
2010-03-09,109.72000122070312,40.71554183959961,89.5754165649414,86.12950134277344,57.37327194213867
2010-03-10,108.47000122070312,41.046207427978516,89.56724548339844,86.51327514648438,57.22640609741211
2010-03-11,108.5999984741211,41.202842712402344,89.55913543701172,86.87446594238281,57.43720245361328
2010-03-12,107.94999694824219,41.2115364074707,89.5754165649414,86.8819808959961,57.79487228393555
2010-03-15,108.36000061035156,41.10712432861328,89.5754165649414,86.90457153320312,57.71824264526367
2010-03-16,110.4000015258789,41.3681640625,89.55098724365234,87.59687042236328,58.1781005859375
2010-03-17,109.58999633789062,41.481285095214844,89.5754165649414,88.1160659790039,58.427242279052734
2010-03-18,110.33999633789062,41.62051773071289,89.5754165649414,88.0708999633789,58.23564529418945
2010-03-19,108.27999877929688,41.368778228759766,89.5754165649414,87.6251449584961,58.2930908203125
2010-03-22,107.75,41.743350982666016,89.5754165649414,88.09358978271484,58.356971740722656
2010-03-23,108.31999969482422,42.03081130981445,89.58348846435547,88.71317291259766,58.0822868347168
2010-03-24,106.30000305175781,41.830448150634766,89.56724548339844,88.28246307373047,57.02195739746094
2010-03-25,106.77999877929688,41.76948547363281,89.56724548339844,88.138916015625,56.657867431640625
2010-03-26,108.58999633789062,41.81303787231445,89.55913543701172,88.08602905273438,56.817569732666016
2010-03-29,108.75,42.013389587402344,89.55913543701172,88.6451644897461,56.60038375854492
